FECHA_CORTE,DEPARTAMENTO,MUNICIPIO,ESTADOS,FECHA_INICIO_OPERACION,FECHA_FIN_OPERACION,VELOCIDAD_SUBIDA,VELOCIDAD_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,USUARIOS_CONECTADOS,INVERSION,META_VIGENCIA,FECHA_VIGENCIA
2023-10-31,VALLE DEL CAUCA,EL DOVIO,EN OPERACION - DESCONECTADA,2020-07-04,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,TOLIMA,CARMEN DE APICALA,EN OPERACION - DESCONECTADA,2020-05-09,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,SUCRE,SUCRE,EN OPERACION - DESCONECTADA,2020-07-18,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,SUCRE,SUCRE,EN OPERACION - DESCONECTADA,2020-07-18,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,HUILA,OPORAPA,EN OPERACION - DESCONECTADA,2020-05-15,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,HUILA,OPORAPA,EN OPERACION - DESCONECTADA,2020-05-15,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,NARIÑO,CUMBITARA,EN OPERACION - DESCONECTADA,1899-12-30,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CAUCA,BUENOS AIRES,EN OPERACION - DESCONECTADA,2020-06-16,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,ANTIOQUIA,GUADALUPE,EN OPERACION - DESCONECTADA,2020-04-17,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CALDAS,SAMANA,EN OPERACION - DESCONECTADA,2020-06-23,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CALDAS,SAMANA,EN OPERACION - DESCONECTADA,2020-06-23,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CUNDINAMARCA,LENGUAZAQUE,EN OPERACION - DESCONECTADA,2020-05-13,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,TOLIMA,SANTA ISABEL,EN OPERACION - DESCONECTADA,2020-05-07,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,CALDAS,EN OPERACION - DESCONECTADA,2020-06-03,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CAUCA,TOTORO,EN OPERACION - DESCONECTADA,2020-04-25,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,HUILA,IQUIRA,EN OPERACION - DESCONECTADA,2020-04-23,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,NARIÑO,SANTA BARBARA,EN OPERACION - DESCONECTADA,2020-08-07,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CASANARE,VILLANUEVA,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,CASANARE,VILLANUEVA,EN OPERACION - DESCONECTADA,1990-01-01,2023-08-27,20,20,0,0,0,53963793,,2023-12-31
2023-10-31,MAGDALENA,ALGARROBO,EN OPERACION - DESCONECTADA,2020-05-27,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CUNDINAMARCA,FUQUENE,EN OPERACION - DESCONECTADA,2020-06-01,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,COVARACHIA,EN OPERACION - DESCONECTADA,2020-06-08,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CASANARE,CHAMEZA,EN OPERACION - DESCONECTADA,2020-06-17,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,ANTIOQUIA,ANGELOPOLIS,EN OPERACION - DESCONECTADA,2020-02-28,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,NARIÑO,SANDONA,EN OPERACION - DESCONECTADA,2020-05-29,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,NARIÑO,SANDONA,EN OPERACION - DESCONECTADA,2020-05-29,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,SAMACA,EN OPERACION - DESCONECTADA,2020-05-26,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
