Fecha de emisión,Fecha de corte,"Cód. 
depto.",Departamento,No. de productores con acuerdos comerciales,No. de productores mujeres con acuerdos comerciales,No. de productores hombres con acuerdos comerciales,No. de productores sin definir,"Valor estimado de los acuerdos comerciales
 ($ millones)"
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,85,Casanare,65,0,0,65,270000001
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,19,Cauca,1,0,0,1,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,20,Cesar,1,0,0,1,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,27,Chocó,0,0,0,0,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,23,Córdoba,6,0,0,6,139707500
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,25,Cundinamarca,12,0,0,12,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,94,Guainía,0,0,0,0,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,95,Guaviare,0,0,0,0,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,41,Huila,8,0,0,8,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,44,La Guajira,0,0,0,0,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,47,Magdalena,3,0,0,3,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,50,Meta,17,0,0,17,1938654000
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,52,Nariño,133,0,0,133,8812500
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,54,Norte de Santander,0,0,0,0,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,86,Putumayo,0,0,0,0,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,63,Quindío,0,0,0,0,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,66,Risaralda,2,0,0,2,0
